city,stratum,cell_id,donor_cell_id,profile_level,context_distance,area_m2
Enshi,Mountainous,Enshi_109.485544_30.249644,Enshi_109.454103_30.245153,moderate,0.85112494743778999,53869.276437751309
Enshi,Mountainous,Enshi_109.485544_30.269856,Enshi_109.456349_30.247399,moderate,0.33626939308657244,53858.190826889338
Enshi,Mountainous,Enshi_109.499019_30.296806,Enshi_109.458594_30.247399,moderate,0.54725909461823241,53843.399586802778
Enshi,Mountainous,Enshi_109.501264_30.323755,Enshi_109.508002_30.314772,moderate,0.48564948524049895,53828.596434743056
Enshi,Mountainous,Enshi_109.449611_30.269856,Enshi_109.442874_30.265365,primary,0.28899293524645231,53858.190826712707
Enshi,Mountainous,Enshi_109.451857_30.294560,Enshi_109.440628_30.267611,primary,0.19608473073513205,53844.632645150705
Enshi,Mountainous,Enshi_109.460840_30.283331,Enshi_109.467578_30.245153,primary,0.52787361708994696,53850.796696041412
Enshi,Mountainous,Enshi_109.463086_30.296806,Enshi_109.449611_30.256382,primary,0.27086295261877191,53843.399586802778
Enshi,Mountainous,Enshi_109.469823_30.258627,Enshi_109.467578_30.281085,primary,0.72597784108896135,53864.350327176326
Enshi,Mountainous,Enshi_109.476561_30.310281,Enshi_109.460840_30.296806,primary,0.60380815712851621,53835.99949952669
Enshi,Mountainous,Enshi_109.487790_30.310281,Enshi_109.487790_30.332738,primary,0.80911517852694514,53835.99949952669
Enshi,Mountainous,Enshi_109.492281_30.328247,Enshi_109.492281_30.312526,primary,0.64191566885148144,53826.128084695752
Enshi,Mountainous,Enshi_109.494527_30.267611,Enshi_109.463086_30.242907,primary,0.53963212139817707,53859.422892558119
Enshi,Mountainous,Enshi_109.494527_30.326001,Enshi_109.494527_30.321510,primary,0.42245718744557859,53827.362301051595
Enshi,Mountainous,Enshi_109.454103_30.274348,Enshi_109.451857_30.251890,upper,0.25181282974621688,53855.726447558627
Enshi,Mountainous,Enshi_109.463086_30.238415,Enshi_109.460840_30.238415,upper,0.20545852308660065,53875.432213725158
Enshi,Mountainous,Enshi_109.469823_30.287823,Enshi_109.463086_30.272102,upper,0.96883473075289361,53848.331323854916
Enshi,Mountainous,Enshi_109.478807_30.251890,Enshi_109.454103_30.245153,upper,0.71224939587017855,53868.045033927512
Enshi,Mountainous,Enshi_109.487790_30.312526,Enshi_109.483298_30.330493,upper,0.54275462424784515,53834.765862174805
Enshi,Mountainous,Enshi_109.490036_30.256382,Enshi_109.465332_30.236170,upper,0.61337990893050598,53865.581978816648
Enshi,Mountainous,Enshi_109.492281_30.303543,Enshi_109.492281_30.312526,upper,0.45435840234455843,53839.699915242782
Enshi,Mountainous,Enshi_109.499019_30.314772,Enshi_109.499019_30.323755,upper,0.26472742402504407,53833.532142158532
Enshi,Mountainous,Enshi_109.499019_30.317018,Enshi_109.494527_30.321510,upper,0.41147080034473937,53832.29833930124
Enshi,Mountainous,Enshi_109.501264_30.312526,Enshi_109.499019_30.323755,upper,0.46804991701614279,53834.765862174805
Ezhou,Transitional,Ezhou_114.794587_30.386637,Ezhou_114.810308_30.391129,moderate,0.53385850981133331,53794.00944000551
Ezhou,Transitional,Ezhou_114.819291_30.397866,Ezhou_114.826028_30.395621,moderate,0.38158963350727876,53787.82637153723
Ezhou,Transitional,Ezhou_114.864207_30.357442,Ezhou_114.855224_30.355196,moderate,0.24577574450982514,53810.075748197662
Ezhou,Transitional,Ezhou_114.866452_30.343967,Ezhou_114.870944_30.339476,moderate,0.56254426079849373,53817.486255072152
Ezhou,Transitional,Ezhou_114.873190_30.361934,Ezhou_114.866452_30.361934,moderate,0.35437688258230643,53807.604917688914
Ezhou,Transitional,Ezhou_114.877681_30.364179,Ezhou_114.866452_30.364179,moderate,0.57669146108760316,53806.36937852628
Ezhou,Transitional,Ezhou_114.882173_30.382146,Ezhou_114.864207_30.395621,moderate,0.72030449845983757,53796.482088777455
Ezhou,Transitional,Ezhou_114.891156_30.395621,Ezhou_114.848486_30.395621,moderate,0.53478858304525245,53789.063150489004
Ezhou,Transitional,Ezhou_114.893402_30.370917,Ezhou_114.877681_30.364179,moderate,0.65717194773892962,53802.662265052066
Ezhou,Transitional,Ezhou_114.920351_30.424816,Ezhou_114.902385_30.388883,moderate,0.81518175398474924,53772.978578236936
Ezhou,Transitional,Ezhou_114.794587_30.391129,Ezhou_114.828274_30.395621,primary,0.52485332593695122,53791.536460576026
Ezhou,Transitional,Ezhou_114.814799_30.402358,Ezhou_114.828274_30.397866,primary,0.29195036375287375,53785.352565463902
Ezhou,Transitional,Ezhou_114.864207_30.334984,Ezhou_114.873190_30.346213,primary,0.81522707825451524,53822.424939818535
Ezhou,Transitional,Ezhou_114.864207_30.346213,Ezhou_114.855224_30.346213,primary,0.39997783804714754,53816.251377577857
Ezhou,Transitional,Ezhou_114.866452_30.337230,Ezhou_114.873190_30.346213,primary,0.84476972558735275,53821.190392628516
Ezhou,Transitional,Ezhou_114.886665_30.361934,Ezhou_114.870944_30.341722,primary,0.55273124021979037,53807.604917688914
Ezhou,Transitional,Ezhou_114.891156_30.397866,Ezhou_114.861961_30.382146,primary,0.75430358391091012,53787.826371360599
Ezhou,Transitional,Ezhou_114.893402_30.373163,Ezhou_114.832766_30.404604,primary,0.63738407350959458,53801.426394878625
Ezhou,Transitional,Ezhou_114.895648_30.379900,Ezhou_114.846240_30.386637,primary,0.73707552333769788,53797.718289608434
Ezhou,Transitional,Ezhou_114.909122_30.420324,Ezhou_114.913614_30.418078,primary,0.50020605640152627,53775.454036714793
Ezhou,Transitional,Ezhou_114.814799_30.395621,Ezhou_114.855224_30.352951,upper,0.57620803227048289,53789.063150665635
Ezhou,Transitional,Ezhou_114.864207_30.350705,Ezhou_114.850732_30.352951,upper,0.71178612502665473,53813.781373889586
