model,quantity_basis,budget_fraction,stratum,n_cities,uniform_eligible_core_cooling_k,uniform_eligible_core_cooling_k_ci_low,uniform_eligible_core_cooling_k_ci_high,priority_eligible_core_cooling_k,priority_eligible_core_cooling_k_ci_low,priority_eligible_core_cooling_k_ci_high,difference_k,difference_k_ci_low,difference_k_ci_high,relative_difference_pct,relative_difference_pct_ci_low,relative_difference_pct_ci_high
cooling_alternate18_loco_k,vegetation_cover,0.25,Mountainous,7,0.42430206130576825,0.3417825796087305,0.5158913977782557,0.5019865087537275,0.4132071220217435,0.6051319062436705,0.07768444744795922,0.0579758709214968,0.0991908148139997,19.204219572345348,14.438687292679878,24.10868056555281
cooling_alternate18_loco_k,vegetation_cover,0.25,Transitional,12,0.41224323829508247,0.3831690325357696,0.4408727477800199,0.45271924670122726,0.42819069822082645,0.4800660653342188,0.040476008406144716,0.023311666352174725,0.05929880399453088,10.533478870349557,5.64918190994272,16.20401993425684
cooling_alternate18_loco_k,vegetation_cover,0.5,Flat,8,0.8882979627991928,0.8188548640621823,0.9687087102978155,0.9928185253919785,0.8798061695800095,1.1260907538844143,0.10452056259278562,0.05129212344585485,0.1709041098588334,11.166895723233512,5.808993807081672,17.417116370026605
cooling_alternate18_loco_k,vegetation_cover,0.5,Hilly,14,0.9183051679585779,0.8574646108196025,0.9759641603949303,1.004297406082838,0.9385834591017246,1.0766951166375287,0.08599223812426023,0.05807713808336561,0.1156195721951124,9.472919549105683,6.303799490393814,12.90974832942209
cooling_alternate18_loco_k,vegetation_cover,0.5,Mountainous,7,0.8486041226115365,0.6824767150825176,1.0374786331301995,0.9654176848248266,0.7770825000251566,1.1766614440361554,0.11681356221329008,0.08290952632057431,0.15883189648375642,14.00363404076518,10.664631225329263,18.682581529233943
cooling_alternate18_loco_k,vegetation_cover,0.5,Transitional,12,0.8244864765901649,0.7672015895454309,0.8840932783196973,0.8900884889872919,0.8389022126975599,0.9466005842437771,0.06560201239712697,0.04066881301132773,0.08892147903597734,8.381123532367397,4.939548397542666,11.729394417735294
cooling_elevation_loco_k,ndvi_uplift,0.25,Flat,8,0.44646225938140766,0.4148082909796049,0.48206058856799916,0.39514933379717865,0.37344886475731875,0.4163310177338718,-0.051312925584229015,-0.07233863786529307,-0.03127371076707615,-11.086352134041526,-15.007944729950154,-7.050047508275188
cooling_elevation_loco_k,ndvi_uplift,0.25,Hilly,14,0.4508329662586196,0.42280683936695806,0.4775861363989433,0.4119032785725761,0.3807099337433543,0.44580771341828485,-0.03892968768604356,-0.05620531949309168,-0.022063658958122047,-8.698485204080304,-12.521283904435847,-4.975527623827
cooling_elevation_loco_k,ndvi_uplift,0.25,Mountainous,7,0.4151045257442261,0.34629674267101385,0.4980271848975027,0.3842062756516046,0.32481374227218246,0.4507218772881837,-0.030898250092621527,-0.048981980869010996,-0.01687055509097753,-6.976461931209701,-9.474946065861968,-4.54129942157235
cooling_elevation_loco_k,ndvi_uplift,0.25,Transitional,12,0.41933149033263023,0.38759203877523346,0.4523176041600206,0.37537634300123895,0.34977448751969314,0.4025008689390908,-0.04395514733139125,-0.06015874711607448,-0.02891515237887248,-10.146147660057037,-13.266753958822106,-7.040448683024822
cooling_elevation_loco_k,ndvi_uplift,0.5,Flat,8,0.8929245187628153,0.8303331917165695,0.9624550423326643,0.8451606268505989,0.7795404270173802,0.9127211863420259,-0.04776389191221648,-0.07347002663538621,-0.02216493837371996,-5.338608735385186,-8.157830340642201,-2.4606823046489716
