city,year,stratum,cells,valid_pct,mean_c
Zhangjiajie,2020,Mountainous,19474,89.90766389658357,33.875266882455605
Zhangjiajie,2021,Mountainous,18466,85.2539242843952,34.74951697852492
Zhangjiajie,2022,Mountainous,21606,99.75069252077562,33.23059175039157
Zhangjiajie,2023,Mountainous,18893,87.2253000923361,34.4036553972731
Zhangjiajie,2024,Mountainous,21311,98.3887349953832,35.233394431021054
Zhangjiajie,2025,Mountainous,19783,91.3342566943675,33.0732353367012
Zhuzhou,2020,Transitional,55320,98.79806404371975,41.99609586774619
Zhuzhou,2021,Transitional,55178,98.54446091475721,41.19866555706909
Zhuzhou,2022,Transitional,55758,99.58030468094225,42.43886770170673
Zhuzhou,2023,Transitional,55648,99.38385155287268,38.38683557030134
Zhuzhou,2024,Transitional,55777,99.61423749397245,40.28883251008233
Zhuzhou,2025,Transitional,55791,99.63924061936314,40.1430125906017
