parameter,estimate,city_jackknife_se,ci_low,ci_high,city_deletion_min,city_deletion_max,n_cities,model_assumption_se,ols_same_sample_coefficient,outcome,k
Aspect,0.007359734851473145,,,,,,,0.013849299877537817,,absolute_lst,12
TRI,-0.1489447433662777,,,,,,,0.023646972042021715,,absolute_lst,12
Relative_elevation,-0.14651328137501535,,,,,,,0.0162793841006984,,absolute_lst,12
rho,0.4461315112783616,,,,,,,0.00746939792310517,,absolute_lst,12
Intercept,0.9118958160779853,,,,,,,0.01868140118653507,,strict_suhi,12
Precip_annual,0.08659385155764655,,,,,,,0.015088078530119222,,strict_suhi,12
VPD_summer,-0.013907360287625403,,,,,,,0.023678907436441844,,strict_suhi,12
Solar_RAD,-0.2985195936571627,,,,,,,0.0262446446420042,,strict_suhi,12
EVI_mean,-1.1672833261050952,,,,,,,0.02747418680657574,,strict_suhi,12
LAI,-0.2509760205812806,,,,,,,0.021476081901970222,,strict_suhi,12
PLAND_imperv,0.37352684981243855,,,,,,,0.024522346110255527,,strict_suhi,12
PLAND_water,-1.5297023327433161,,,,,,,0.0239122790548498,,strict_suhi,12
ED_total,-0.007812607321948035,,,,,,,0.015728959934227002,,strict_suhi,12
AI_imperv,0.5924151542329803,,,,,,,0.02799662369323214,,strict_suhi,12
Sky_View_Factor,-0.35869992589621846,,,,,,,0.019289502720485425,,strict_suhi,12
DEM,-0.07377161673908947,,,,,,,0.025002672762598706,,strict_suhi,12
Aspect,0.018542007465782096,,,,,,,0.01391527748205447,,strict_suhi,12
TRI,-0.06929506625261206,,,,,,,0.023778684550594304,,strict_suhi,12
Relative_elevation,-0.37396337521206574,,,,,,,0.015880660360480994,,strict_suhi,12
rho,0.458859843325988,,,,,,,0.007408143955192984,,strict_suhi,12
