city,province,stratum,unique_roi_cells,unique_roi_lst_mean_c,unique_roi_dem_mean_m,unique_roi_slope_mean_deg,full_roi_total_cells,full_roi_quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k,annual_average_max_error_k,valid_six_year_cells,valid_five_year_cells,valid_four_year_cells,clear_observations_median,clear_observations_q25,clear_observations_q75,full_roi_lst_mean_c
Xiaogan,Hubei,Transitional,25920,39.12130295160023,31.53298902375979,2.673511701651609,25970,25929,1353,4170,7296,703,318.30896459783594,318.719732288,29.526539545029586,34.52475975478807,3.5873353070427783,11.104331915459058,2,310.83857449015755,7.470390107678384,310.81533317,7.493631427835965,310.67592236577303,7.633042232062905,310.3951442133464,7.913820384489554,310.61736092316124,7.691603674674695,0.0,18200,7183,546,46.0,26.0,50.0,39.121930089224406
Xinyu,Jiangxi,Transitional,28076,39.288571349012216,90.07771420813144,7.463336764660364,28121,28076,1880,8531,14365,5976,320.80650873686227,321.15256499000003,61.48878529223268,107.023287641132,4.744414890253953,11.446188897696636,6,310.6833633016089,10.123145435253376,310.33738004,10.4691286968623,310.8091903111183,9.99731842574397,310.1727468684924,10.633761868369843,311.50343538988545,9.303073346976817,0.0,20093,7982,1,26.0,24.0,28.0,39.288571349012216
Yichang,Hubei,Mountainous,33701,36.742853762374125,236.3287790923146,16.955577689893264,33739,33701,2519,8548,14914,6710,314.0818148439698,315.004971185,88.26618225988176,384.384120592126,6.303851566775464,11.93247474285969,8,307.167306758242,6.914508085727846,306.64933646,7.432478383969851,307.61972735514905,6.462087488820771,306.49354222969885,7.588272614270977,312.21405808961833,1.8677567543514897,0.0,29132,4482,87,34.0,21.0,40.0,36.742853762374125
Yichun,Jiangxi,Hilly,26963,38.741857017831535,180.8077284922467,13.143671703155274,27053,26963,1947,8784,14467,6794,319.01328370714174,319.52159978000003,112.44802316712423,248.4336615877027,6.746940401271431,11.979135701340033,6,309.59620293874747,9.417080768394271,309.8373521975,9.175931509641714,309.94680762143946,9.066476085702275,309.0958903523502,9.917393354791557,311.1864920831789,7.8267916239628335,0.0,23163,3503,297,24.0,22.0,25.0,38.741857017831535
Yingtan,Jiangxi,Hilly,31711,40.06286292214992,57.792236708499686,5.500144555805423,31756,31711,1268,9180,15251,5991,318.4042534448123,319.020575015,40.189367610731765,80.43629263374442,6.783996793011621,11.831698710592931,4,311.1264951091278,7.277758335684496,310.9279854125,7.476268032312305,311.7032810561781,6.70097238863417,310.7160560345638,7.688197410248506,311.72957314782815,6.67468029698415,0.0,31640,71,0,73.0,64.0,77.0,40.06286292214992
Yiyang,Hunan,Transitional,29532,38.08446323520264,62.75545487340424,6.869653639828147,29580,29532,2084,5519,9434,2529,314.8062073218769,314.59281494000004,47.071868313575735,92.0666601505956,9.073511523105411,12.144221937924156,5,309.6568929317567,5.149314390120196,309.8463245,4.959882821876931,309.7298790880061,5.076328233870811,308.55813873920164,6.248068582675273,310.6982130491356,4.107994272741337,0.0,17309,10311,1912,17.0,14.0,37.0,38.08446323520264
Yongzhou,Hunan,Hilly,21925,39.51387660422438,139.83981751721296,6.647524170214975,21952,21925,871,5971,10179,3309,319.26156046795063,320.1402614,118.42875807096809,152.29754923882226,5.685650508012344,11.624479831114757,4,311.5005676225929,7.760992845357748,311.564734055,7.696826412950656,311.7169123151426,7.544648152808008,311.1007013597725,8.160859108178158,311.700505212029,7.561055255921644,0.0,21154,771,0,22.0,20.0,35.0,39.51387660422438
Yueyang,Hunan,Flat,30756,37.1327381219146,45.89416492389547,5.124275334868365,30793,30756,2458,4297,6914,2065,315.3912580617323,316.598907845,38.24974696936623,75.86787638965828,4.589591319163132,11.66631414794778,4,310.70473132189227,4.686526739840019,310.75096046,4.6402976017323,310.6797236302291,4.711534431503196,310.30271607568426,5.088541986048028,311.0729345537848,4.318323507947468,0.0,27126,3630,0,30.0,28.0,54.0,37.1327381219146
Zhangjiajie,Hunan,Mountainous,20940,34.01933713809683,468.9750172547229,21.55689821798544,21660,20940,477,7970,13463,6937,316.9967111528365,317.88778622,182.07147471776543,559.894692816604,6.386464857071218,11.80703812425994,7,305.5867113421617,11.409999810674776,305.540872574,11.455838578836506,305.59594438773667,11.400766765099831,305.2891560666272,11.707555086209368,309.7606608123589,7.236050340477618,0.0,14370,5114,1456,15.0,12.0,17.0,34.01933713809683
Zhuzhou,Hunan,Transitional,28020,40.30185287888253,79.57071269042746,9.480971055866208,55993,55741,3037,8240,15479,3835,319.3780512683991,320.06449529,60.9691694652627,88.72714486169828,6.407239664098029,11.79154913350352,6,311.56659290756767,7.811458360831409,311.51773628,7.860314988399068,311.5916958655536,7.786355402845459,310.9447340447262,8.433317223672873,312.1828238447915,7.195227423607548,0.0,54673,985,83,26.0,25.0,28.0,40.74103651192445
